"File"	"Time"	"Long"	"Lat"	"Alt"	"course"	"pitch"	"roll"
"./isds_20250908173217/1757323941.599923372.jpg"	1757323941.5999234	114.1696265	22.2775172	17.3	0	0	0
"./isds_20250908173217/1757323941.699973345.jpg"	1757323941.6999733	114.1696219	22.2775201	17.262	0	0	0
"./isds_20250908173217/1757323941.900260687.jpg"	1757323941.9002607	114.1696177	22.2775231	17.315	0	0	0
"./isds_20250908173217/1757323942.000037193.jpg"	1757323942.0000372	114.1696084	22.2775284	17.24	0	0	0
"./isds_20250908173217/1757323942.099927664.jpg"	1757323942.0999277	114.1696042	22.2775315	17.25	0	0	0
"./isds_20250908173217/1757323942.200096130.jpg"	1757323942.2000961	114.1695993	22.2775341	17.231	0	0	0
"./isds_20250908173217/1757323942.300256729.jpg"	1757323942.3002567	114.1695949	22.2775367	17.209	0	0	0
"./isds_20250908173217/1757323942.400062084.jpg"	1757323942.400062	114.1695901	22.2775397	17.198	0	0	0
"./isds_20250908173217/1757323942.499947309.jpg"	1757323942.4999473	114.1695856	22.2775423	17.149	0	0	0
"./isds_20250908173217/1757323942.600096464.jpg"	1757323942.6000965	114.1695811	22.2775452	17.136	0	0	0
"./isds_20250908173217/1757323942.700236797.jpg"	1757323942.7002368	114.1695762	22.277548	17.121	0	0	0
"./isds_20250908173217/1757323942.800056458.jpg"	1757323942.8000565	114.1695715	22.2775507	17.088	0	0	0
"./isds_20250908173217/1757323942.899921417.jpg"	1757323942.8999214	114.169567	22.2775533	17.069	0	0	0
"./isds_20250908173217/1757323943.000082493.jpg"	1757323943.0000825	114.1695622	22.2775558	17.041	0	0	0
"./isds_20250908173217/1757323943.100322247.jpg"	1757323943.1003222	114.1695581	22.277558	17.054	0	0	0
"./isds_20250908173217/1757323943.200117588.jpg"	1757323943.2001176	114.1695535	22.2775608	17.023	0	0	0
"./isds_20250908173217/1757323943.299925804.jpg"	1757323943.2999258	114.1695492	22.2775632	16.988	0	0	0
"./isds_20250908173217/1757323943.400000811.jpg"	1757323943.4000008	114.1695445	22.2775659	16.938	0	0	0
"./isds_20250908173217/1757323943.500334024.jpg"	1757323943.500334	114.1695399	22.2775686	16.894	0	0	0
"./isds_20250908173217/1757323943.600212097.jpg"	1757323943.600212	114.1695352	22.2775711	16.838	0	0	0
"./isds_20250908173217/1757323943.700007915.jpg"	1757323943.700008	114.1695309	22.2775733	16.779	0	0	0
"./isds_20250908173217/1757323943.799908161.jpg"	1757323943.7999082	114.1695268	22.2775757	16.731	0	0	0
"./isds_20250908173217/1757323943.900189877.jpg"	1757323943.9001899	114.1695227	22.2775776	16.644	0	0	0
"./isds_20250908173217/1757323944.000328064.jpg"	1757323944.000328	114.1695184	22.2775797	16.599	0	0	0
"./isds_20250908173217/1757323944.100070000.jpg"	1757323944.10007	114.1695141	22.2775824	16.561	0	0	0
"./isds_20250908173217/1757323944.199933290.jpg"	1757323944.1999333	114.1695096	22.2775846	16.501	0	0	0
"./isds_20250908173217/1757323944.300069332.jpg"	1757323944.3000693	114.1695057	22.2775869	16.442	0	0	0
"./isds_20250908173217/1757323944.699927568.jpg"	1757323944.6999276	114.1694971	22.277592	16.3	0	0	0
"./isds_20250908173217/1757323944.800199032.jpg"	1757323944.800199	114.1694848	22.277599	16.162	0	0	0
"./isds_20250908173217/1757323944.900338650.jpg"	1757323944.9003386	114.1694805	22.2776016	16.102	0	0	0
"./isds_20250908173217/1757323945.000095129.jpg"	1757323945.0000951	114.1694758	22.277604	16.031	0	0	0
"./isds_20250908173217/1757323945.099961996.jpg"	1757323945.099962	114.1694717	22.2776064	15.977	0	0	0
"./isds_20250908173217/1757323945.200020075.jpg"	1757323945.20002	114.1694674	22.2776084	15.787	0	0	0
"./isds_20250908173217/1757323945.300215960.jpg"	1757323945.300216	114.1694633	22.27761	15.567	0	0	0
"./isds_20250908173217/1757323945.400111675.jpg"	1757323945.4001117	114.1694591	22.2776123	15.457	0	0	0
"./isds_20250908173217/1757323945.499956608.jpg"	1757323945.4999566	114.1694549	22.2776148	15.328	0	0	0
"./isds_20250908173217/1757323945.599963903.jpg"	1757323945.599964	114.1694507	22.2776168	15.238	0	0	0
"./isds_20250908173217/1757323945.700236559.jpg"	1757323945.7002366	114.1694462	22.2776188	15.047	0	0	0
"./isds_20250908173217/1757323945.800231695.jpg"	1757323945.8002317	114.169442	22.277621	15.093	0	0	0
"./isds_20250908173217/1757323945.900052309.jpg"	1757323945.9000523	114.1694375	22.2776237	15.112	0	0	0
"./isds_20250908173217/1757323945.999952555.jpg"	1757323945.9999526	114.1694329	22.2776263	15.019	0	0	0
"./isds_20250908173217/1757323946.100053549.jpg"	1757323946.1000535	114.1694289	22.2776286	15.058	0	0	0
"./isds_20250908173217/1757323946.200249910.jpg"	1757323946.20025	114.1694244	22.2776312	15.093	0	0	0
"./isds_20250908173217/1757323946.300129890.jpg"	1757323946.30013	114.1694201	22.2776338	15.141	0	0	0
"./isds_20250908173217/1757323946.399930239.jpg"	1757323946.3999302	114.1694156	22.277636	15.073	0	0	0
"./isds_20250908173217/1757323946.600315809.jpg"	1757323946.6003158	114.1694065	22.277641	15.091	0	0	0
"./isds_20250908173217/1757323946.899938822.jpg"	1757323946.8999388	114.1693971	22.2776454	15.126	0	0	0
"./isds_20250908173217/1757323947.000137091.jpg"	1757323947.000137	114.1693882	22.2776504	15.092	0	0	0
"./isds_20250908173217/1757323947.100257397.jpg"	1757323947.1002574	114.1693833	22.2776525	15.114	0	0	0
"./isds_20250908173217/1757323947.200041056.jpg"	1757323947.200041	114.1693782	22.2776548	14.97	0	0	0
"./isds_20250908173217/1757323947.299930096.jpg"	1757323947.29993	114.1693734	22.2776568	15.01	0	0	0
"./isds_20250908173217/1757323947.400157690.jpg"	1757323947.4001577	114.1693684	22.2776589	15.001	0	0	0
"./isds_20250908173217/1757323947.500280619.jpg"	1757323947.5002806	114.1693634	22.2776614	14.967	0	0	0
"./isds_20250908173217/1757323947.600037813.jpg"	1757323947.6000378	114.1693581	22.2776629	14.959	0	0	0
"./isds_20250908173217/1757323947.699926853.jpg"	1757323947.6999269	114.1693523	22.2776649	14.844	0	0	0
"./isds_20250908173217/1757323947.800163507.jpg"	1757323947.8001635	114.1693476	22.2776677	14.828	0	0	0
"./isds_20250908173217/1757323947.900293112.jpg"	1757323947.900293	114.1693425	22.2776698	14.725	0	0	0
"./isds_20250908173217/1757323948.000050306.jpg"	1757323948.0000503	114.1693376	22.2776717	14.769	0	0	0
"./isds_20250908173217/1757323948.099916458.jpg"	1757323948.0999165	114.169332	22.2776734	14.764	0	0	0
"./isds_20250908173217/1757323948.300330162.jpg"	1757323948.3003302	114.1693217	22.2776776	14.788	0	0	0
"./isds_20250908173217/1757323948.400147438.jpg"	1757323948.4001474	114.1693164	22.2776793	14.787	0	0	0
"./isds_20250908173217/1757323948.499967337.jpg"	1757323948.4999673	114.169311	22.2776814	14.748	0	0	0
